                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.43731,                0.25675,                0.80147,                0.98428,                0.98538,                0.99368,                0.88645,                0.63668,                0.32585,                0.77484,             0.00058354,             0.00058354,             0.00058354
                     95,                0.43724,                0.25805,                0.80171,                0.98386,                0.98608,                0.99375,                0.87999,                0.65982,                0.32711,                0.77602,             0.00056831,             0.00056831,             0.00056831
                     96,                0.43115,                0.25324,                0.80137,                0.98371,                0.98272,                0.99359,                0.88662,                0.63799,                0.34274,                0.77491,             0.00055308,             0.00055308,             0.00055308
                     97,                  0.432,                0.25441,                0.80081,                0.98108,                0.98253,                 0.9934,                0.88457,                0.64031,                0.37118,                0.77452,             0.00053785,             0.00053785,             0.00053785
                     98,                0.43437,                0.25628,                0.80107,                0.98326,                 0.9845,                0.99361,                0.87594,                0.68182,                0.35793,                0.78095,             0.00052262,             0.00052262,             0.00052262
                     99,                0.42292,                0.25103,                0.79983,                 0.9832,                0.98454,                0.99366,                 0.8757,                 0.6738,                0.38379,                0.77798,             0.00050738,             0.00050738,             0.00050738
                    100,                0.42539,                0.25588,                0.80008,                0.97372,                0.98087,                0.99296,                0.86715,                0.70019,                0.51731,                0.78006,             0.00049215,             0.00049215,             0.00049215
                    101,                0.42405,                0.25015,                0.80029,                0.98376,                0.98308,                0.99355,                0.87287,                0.70007,                0.37504,                 0.7814,             0.00047692,             0.00047692,             0.00047692
                    102,                0.41637,                0.24787,                0.79911,                0.98376,                0.98403,                0.99365,                0.87585,                0.67395,                0.36527,                  0.778,             0.00046169,             0.00046169,             0.00046169
                    103,                0.42104,                 0.2484,                0.79929,                0.98294,                0.98507,                0.99368,                0.87966,                0.66649,                0.36795,                0.77802,             0.00044646,             0.00044646,             0.00044646
                    104,                0.42315,                0.24901,                0.79939,                0.98428,                0.98397,                0.99371,                 0.8725,                 0.6886,                0.35314,                0.77869,             0.00043123,             0.00043123,             0.00043123
                    105,                0.41385,                0.24551,                0.79791,                0.98463,                0.98504,                 0.9938,                0.87443,                0.68708,                0.33942,                0.77856,               0.000416,               0.000416,               0.000416
                    106,                0.41231,                0.24292,                 0.7987,                0.98387,                 0.9862,                 0.9938,                0.87265,                0.69273,                0.33774,                0.77906,             0.00040077,             0.00040077,             0.00040077
                    107,                0.41671,                0.24733,                0.79872,                0.98359,                0.98606,                0.99371,                0.87045,                0.70308,                 0.3472,                0.78097,             0.00038554,             0.00038554,             0.00038554
                    108,                0.41229,                0.24623,                0.79826,                0.98427,                  0.985,                0.99375,                0.87603,                 0.6787,                0.34564,                0.77722,             0.00037031,             0.00037031,             0.00037031
                    109,                0.40474,                0.24172,                0.79708,                0.98381,                0.98452,                0.99373,                0.87298,                0.69257,                0.34918,                0.77945,             0.00035508,             0.00035508,             0.00035508
                    110,                0.40981,                0.24654,                0.79795,                0.98152,                0.98426,                 0.9936,                0.87862,                0.67302,                0.36814,                0.77793,             0.00033985,             0.00033985,             0.00033985
                    111,                0.40213,                 0.2425,                0.79716,                0.98262,                0.98138,                0.99355,                 0.8744,                0.68983,                0.39766,                 0.7795,             0.00032462,             0.00032462,             0.00032462
                    112,                0.40672,                0.24286,                0.79748,                0.98342,                0.98443,                0.99374,                0.87391,                0.69658,                 0.3581,                0.78064,             0.00030938,             0.00030938,             0.00030938
                    113,                0.40363,                0.24261,                0.79739,                0.98356,                0.98389,                0.99371,                0.87729,                0.68224,                0.35502,                  0.779,             0.00029415,             0.00029415,             0.00029415
                    114,                0.40428,                0.24189,                0.79657,                0.98491,                0.98401,                0.99377,                0.87827,                0.67504,                0.34273,                0.77851,             0.00027892,             0.00027892,             0.00027892
                    115,                0.39657,                0.23772,                0.79703,                0.98444,                0.98415,                 0.9938,                0.87688,                0.68241,                0.34301,                0.77928,             0.00026369,             0.00026369,             0.00026369
